question,answer
Flybox ou Box Bi Orange : Comment gérer les soucis de connexion ?,"Si votre Flybox n’est plus connecté à internet : Commencez par redémarrer votre modem Flybox et attendez quelques instants pour que la connexion au réseau de Orange soit rétablie : a) Utiliser la touche Marche / Arrêt pour éteindre votre Flybox b) Débranchez la prise secteur c) Retirer la puce de votre Flybox et patienter 30 secondes puis la remettre d) Mettre en marche votre Flybox à l’aide du bouton Marche / Arrêt et patienter que les voyants se stabilisent Si votre connexion est devenue lente : Avant toute chose, vérifiez que vous n’avez pas épuisé votre forfait Flybox. Pour cela vous pouvez: Vous connecter à votre Espace client Orange www.passorange.sn ou www.orangeetmoi.sn. Pour toute demande d’assistance complémentaire, vous pouvez contacter le service client par Mail: serviceclient@orange-sonatel.com, sur Messenger , Whatsapp au 00221771370101 ou sur le chat Orange et Moi Pour plus d'information, cliquez sur ces liens: https://assistance.orange.sn/questions/2776116-flybox-box-bi-orange-gerer-soucis-connexion"
Comment optimiser la consommation de votre pass Internet ?,"Quand vous cliquez sur les images ou vidéos, vous les téléchargez et vous utilisez votre pass internet. Quand vous en envoyez, vous consommez également votre pass. Nous suggérons de les télécharger, le plus souvent, lorsque vous êtes connecté en Wifi. Vérifiez également sur les paramètres des applis, comme Whatsapp que le téléchargement ne se fait que lorsque vous cliquez sur l’image ou la vidéo pour que celles-ci ne soient pas chargées automatiquement. Whatsapp 1. Appuyer sur « Paramètres » 2. Appuyer sur « Utilisation données et stockage ». 3. Dans la rubrique « Téléchargement automatique des Media » Mettez tout sur Wifi 4. Cocher « Utilisation réduite des données » Snapchat : 1. Allez sur Réglages de Snapchat 2. Aller à la rubrique « Options supplémentaires » 3. Appuyer sur « Gérer » et cocher « Economiseur de données. » · Instagram: 1. Ouvrir Instagram 2. Appuyer sur l’icône « Portrait » en bas à droite 3. Appuyer sur le bouton « Paramètres » 4. Aller à « Compte » 5. Défiler vers le bas et sélectionnez « Utilisation des données cellulaires » 6. Sélectionnez « Utiliser moins de données » pour que les vidéos ne soient lues que sur le réseau Wi-Fi Pour toute demande d’assistance complémentaire, vous pouvez contacter le service client par Mail: serviceclient@orange-sonatel.com, sur Messenger , Whatsapp au 00221771370101 ou sur le chat Orange et Moi Pour plus d'information, cliquez sur ces liens: https://assistance.orange.sn/questions/2776114-optimiser-consommation-pass-internet"
Comment activer le service Free roaming Orange Sénégal ?,"Le Free Roaming est un projet initié par les régulateurs pour faciliter les communications aux usagers du roaming vivant au Sénégal, au Mali, au Burkina Faso, au Togo, au... Pour plus d'information, cliquez sur ces liens: https://assistance.orange.sn/questions/2776113-activer-service-free-roaming-orange-senegal"
Orange Money : Comment récupérer l’argent d’un proche décédé,"Pour récupérer l’argent sur le compte d’un client Orange Money décédé il faut déposer un dossier composé de: · Certificat de décès; · Certificat d'hérédité; · Les signatures de tous les membres de la famille et le déposer auprès de nos agences. Notre service assistance vous contactera pour la suite. Pour toute demande d’assistance complémentaire, vous pouvez contacter le service client par Mail: serviceclient@orange-sonatel.com, sur Messenger , Whatsapp au 00221771370101 ou sur le chat Orange et Moi Pour plus d'information, cliquez sur ces liens: https://assistance.orange.sn/questions/2776112-orange-money-recuperer-argent-decede"
Comment vérifier les numéros identifiés à ton nom ?,"Pour consulter et gérer le ou les numéros identifiés avec votre taper le #336# et suivez les instructions. Vous pouvez également contacter le service client sur Messenger http://bit.ly/2MZOgvF avec une copie de votre pièce d’identité et le numéro concerné pour vérifier ou confirmer l’identification de votre numéro avec votre pièce d’identité Pour toute demande d’assistance complémentaire, vous pouvez contacter le service client par Mail: serviceclient@orange-sonatel.com, sur Messenger , Whatsapp au 00221771370101 ou sur le chat Orange et Moi Pour plus d'information, cliquez sur ces liens: https://assistance.orange.sn/questions/2776110-verifier-numeros-identifies-nom"
Orange Money : comment éviter les arnaques ?,"Vous pouvez être confronté à des actes malveillants d’individus malintentionnés. Pour éviter cela, nous vous proposons quelques recommandations : · Ne jamais communiquer votre code secret. Même si la personne se réclame être un agent de la Sonatel. · Ne jamais suivre les instructions d’un inconnu même si cette personne se réclame être un agent de la Sonatel. · Certains codes courts Orange Money autorisent des retraits ou des paiements en ligne sur votre compte Orange Money. Veillez à ne jamais composer un code sur appel téléphonique d’une personne qui se réclame être un agent de la Sonatel. · Ne jamais donner suite aux demandes de paiement de factures sur demande d’une personne qui se réclame agent de la Sonatel. NB : La sonatel n’appelle jamais ses clients pour leur demander d’envoyer de l’argent en guise de paiement de facture. Pour toute tentative d’arnaque, veuillez contacter le service client sur Facebook, Twitter ou au 1444. Plus d’informations sur https://www.orange.sn/orange-money Pour toute demande d’assistance complémentaire, vous pouvez contacter le service client par Mail: serviceclient@orange-sonatel.com, sur Messenger , Whatsapp au 00221771370101 ou sur le chat Orange et Moi Pour plus d'information, cliquez sur ces liens: https://assistance.orange.sn/questions/2776106-orange-money-eviter-arnaques"
Le service Fayalma de Orange : Comment ça marche ?,"Pour payer l’appel de vos proches (parents, amis, enfants) composez le #666# et appuyer sur la touche 1. Cette touche correspond à la gestion de votre liste. Tapez 1 pour ajouter un numéro Tapez 2 pour supprimer un numéro Tapez 3 pour afficher la liste des numéros que vous avez enregistrés Tapez 4 pour remplacer un numéro Dès que vous avez enregistré les numéros de vos proches, vous êtes le sponsor et vous payez tous les appels qu’ils vont émettre vers votre numéro. Les sponsorisés pourrons vous joindre sans payer en composant le 666 + votre numéro d’appel + touche appel. Pour toute demande d’assistance complémentaire, vous pouvez contacter le service client par Mail: serviceclient@orange-sonatel.com, sur Messenger , Whatsapp au 00221771370101 ou sur le chat Orange et Moi Pour plus d'information, cliquez sur ces liens: https://assistance.orange.sn/questions/2776105-service-fayalma-orange-marche"
Souci d’envoi ou réception d’appel : comment résoudre ?,"Si vous avez des difficultés pour envoyer ou recevoir des SMS, veuillez effectuer les vérifications suivantes : · Si l'appareil est équipé d'une carte SIM, assurez-vous que celle-ci est bien insérée. · Vérifiez que vous avez un signal réseau. · Assurez-vous que votre boite de messagerie n'est pas saturé (remplir), supprimer plusieurs messages. · Consultez votre forfait ou votre crédit téléphonique et votre bonus pour savoir si celui-ci vous permet encore d'envoyer/recevoir des messages. · Vérifiez si vous êtes en mode Avion. Si tel est le cas, désactivez-le. · Vérifier le numéro de centre de messagerie, encore appelé le numéro de centre serveur d'envoi de SMS (le numéro de centre de messagerie Orange Sénégal est le 00221776380010 Pour toute demande d’assistance complémentaire, vous pouvez contacter le service client par Mail: serviceclient@orange-sonatel.com, sur Messenger , Whatsapp au 00221771370101 ou sur le chat Orange et Moi Pour plus d'information, cliquez sur ces liens: https://assistance.orange.sn/questions/2776104-souci-envoi-reception-appel-resoudre"
Orange Money : Comment changer le numéro de ligne mobile attaché à mon compte ?,"Pour changer le numéro de téléphone mobile rattaché à votre compte Orange Money, il faut : · Remplir et signez le formulaire pour résilier le compte rattaché à l’ancien numéro sur ce lien https://bit.ly/3gSdCtm · Joindre la copie recto-verso de votre pièce d’identité en cours de validité · Envoyer le tout par mail à serviceclient@orange-sonatel.com NB : Le compte doit être vidé (Solde 00F) Après la résiliation du compte, il faut faire une demande d’ouverture avec le nouveau compte sur l’application Orange Money au #144#75# Pour toute demande d’assistance complémentaire, vous pouvez contacter le service client par Mail: serviceclient@orange-sonatel.com, sur Messenger , Whatsapp au 00221771370101 ou sur le chat Orange et Moi Pour plus d'information, cliquez sur ces liens: https://assistance.orange.sn/questions/2776103-orange-money-changer-numero-ligne-mobile-attache-compte"
Flash SOS Orange : Comment activer ou désactiver le service ?,"Pour désactiver le Flash SOS crédit, il faut composer le #111#5*11*11*1#. Pour toute demande d’assistance complémentaire, vous pouvez contacter le service client par Mail: serviceclient@orange-sonatel.com, sur Messenger , Whatsapp au 00221771370101 ou sur le chat Orange et Moi Pour plus d'information, cliquez sur ces liens: https://assistance.orange.sn/questions/2776102-flash-sos-orange-activer-desactiver-service"
Comment désinscrire du service Gameloft,"Pour se désinscrire du service Gameloft, il faut composer le 111#227# Pour toute demande d’assistance complémentaire, vous pouvez contacter le service client par Mail: serviceclient@orange-sonatel.com, sur Messenger , Whatsapp au 00221771370101 ou sur le chat Orange et Moi Pour plus d'information, cliquez sur ces liens: https://assistance.orange.sn/questions/2776100-desinscrire-service-gameloft"
Le Service SMS Pro de Orange : Comment ça marche ?,"SMS PRO est une solution automatisée d’envoi de sms destinée aux Entreprises et Organisations souhaitant communiquer en temps réel avec leurs clients. La solution permet de créer une réelle proximité avec vos clients avec une communication instantanée lors de transactions ou opérations diverses. Avec les APIs vous pouvez envoyer des sms depuis votre serveur ou système d’information. Nous proposons trois offres : Gold, Silver et Bronze. Pièces à fournir pour souscrire : · NINEA · Registre de commerce · Relevé d’Identité Bancaire · Copie pièce d’Identité du Dirigeant social de l’entreprise · Remplir une demande (Formulaire de souscription au service SMS PRO ou lettre avec cachet et signature du chef d’entreprise) Plus d’informations sur https://www.orangesmspro.sn/ Pour toute demande d’assistance complémentaire, vous pouvez contacter le service client par Mail: serviceclient@orange-sonatel.com, sur Messenger , Whatsapp au 00221771370101 ou sur le chat Orange et Moi Pour plus d'information, cliquez sur ces liens: https://assistance.orange.sn/questions/2776097-service-sms-pro-orange-marche"
Comment gérer un souci de connexion réseau mobile (4G) Orange ?,"Avoir un téléphone compatible 4G 2- Avoir une puce 4G (disponible en agence gratuitement si vous présentez votre pièce d’identité et un téléphone compatible 4G) 3- Être dans une zone couverte 4G. Les zones couvertes 4G sont disponibles ici https://sonatel.sn/couverture-reseaux/ Si les conditions ci-dessous sont réunies, vérifier que la fonction 4G est activée sur votre téléphone. Android : Paramètres > Sans fil et réseaux > Réseau mobile > Type de réseau préféré iOS : Ouvrez les « Paramètres » de votre iPhone > Sélectionnez « Réseau cellulaire ».Basculez l'option « Données cellulaires » sur ON > Basculez l'option « Activer la 4G » sur ON Si vous n’arrivez toujours pas à accéder à la 4G, veuillez contacter le service client en ligne ici http://bit.ly/2MZOgvF Pour toute demande d’assistance complémentaire, vous pouvez contacter le service client par Mail: serviceclient@orange-sonatel.com, sur Messenger , Whatsapp au 00221771370101 ou sur le chat Orange et Moi Pour plus d'information, cliquez sur ces liens: https://assistance.orange.sn/questions/2776096-gerer-souci-connexion-reseau-mobile-4g-orange"
Comment utiliser votre numéro Orange Senegal à l’étranger ?,"Pour utiliser votre numéro à l’étranger, assurez-vous que le service roaming est activé. Android : Allez dans les réglages Paramètres Sans fil et réseau=>Réseau Mobile=> et activez « Itinérance des données ». iOS : · Allez dans Réglages · Appuyez sur Données cellulaires => Options => · Activer Données à l'étranger Assurez-vous d’avoir du crédit : achat de crédit ou de Pass voyage Pour activer un Pass voyage, accédez au menu USSD #166# et suivez les instructions. PS : si vous êtes dans l’un de ces pays (Sénégal, Côte d’Ivoire, Guinée, Mali, Burkina Faso, Togo et Bénin), vous avez 300 min de réception gratuite valable 30 jours à partir de la date de souscription. Au-delà des 300 min, la réception est facturée à 100FCFA/min. Pour toute demande d’assistance complémentaire, vous pouvez contacter le service client par Mail: serviceclient@orange-sonatel.com, sur Messenger , Whatsapp au 00221771370101 ou sur le chat Orange et Moi Pour plus d'information, cliquez sur ces liens: https://assistance.orange.sn/questions/2776093-utiliser-numero-orange-senegal-etranger"
Orange Money : Comment payer une facture Canal ?,"Pour payer votre facture Canal + avec Orange Money, composez-le : #144#3*5*2#: pour régularisation. #144#3*5*1#: pour reconduction. Ou téléchargez l'application Orange Money si vous avez un téléphone Android Le paiement des factures CANAL+ par Orange Money s'effectue sans frais. Les numéros d'abonnés Canal à saisir doivent comporter 7 ou 8 chiffres. Tous les numéros d'abonnés CANAL de moins de 7 chiffres doivent être préfixés de 4 (si 6 chiffres) ou 40 (si 5 chiffres) Pour toute demande d’assistance complémentaire, vous pouvez contacter le service client par Mail: serviceclient@orange-sonatel.com, sur Messenger , Whatsapp au 00221771370101 ou sur le chat Orange et Moi Pour plus d'information, cliquez sur ces liens: https://assistance.orange.sn/questions/2776092-orange-money-payer-facture-canal"
Comment localiser un téléphone Android ?,"Allez au niveau de « Paramètres » sur votre téléphone 2. Cliquez sur « Sécurité et Localisation » ou sur Google > Sécurité, selon votre type de téléphone 3. Appuyez sur « Localiser mon appareil » et activez l’option si elle est désactivée Cette procédure permet de localiser votre téléphone en cas de perte ou de vol. Vous aussi le faire cliquant sur le lien https://www.google.com/android/find?u=0 et suivre les instructions. Pour toute demande d’assistance complémentaire, vous pouvez contacter le service client par Mail: serviceclient@orange-sonatel.com, sur Messenger , Whatsapp au 00221771370101 ou sur le chat Orange et Moi Pour plus d'information, cliquez sur ces liens: https://assistance.orange.sn/questions/2776089-localiser-telephone-android"
Comment avoir une adresse email avec le domaine Orange.sn ?,"Pour bénéficier d’une adresse mail avec le domaine orange.sn (Exemple : contact@orange.sn: Envoyez votre demande au service client digital (Facebook, Twitter ou via mail : serviceclient@orange-sonatel.com) en y joignant une copie de votre pièce d’identité en cours de validité. Mentionnez dans votre demande le numéro de ligne concernée et l'adresse email vous souhaitez ouvrir. Pour toute demande d’assistance complémentaire, vous pouvez contacter le service client par Mail: serviceclient@orange-sonatel.com, sur Messenger , Whatsapp au 00221771370101 ou sur le chat Orange et Moi Pour plus d'information, cliquez sur ces liens: https://assistance.orange.sn/questions/2776086-adresse-email-domaine-orange-sn"
Souci de réception de SMS de Orange que faire ?,"Si vous ne recevez pas les messages d’Orange, vérifiez que vous n'avez pas bloqué les messages d'Orange au niveau de vos paramètres messagerie. Si les messages d'Orange ne sont pas bloqués au niveau de vos paramètres, contacter le service Client Orange en ligne via Facebook, Twitter ou par mail (serviceclient@orange-sonatel.com) et communiquer le numéro concerné (en privé) afin que nous vous assistions. Pour toute demande d’assistance complémentaire, vous pouvez contacter le service client par Mail: serviceclient@orange-sonatel.com, sur Messenger , Whatsapp au 00221771370101 ou sur le chat Orange et Moi Pour plus d'information, cliquez sur ces liens: https://assistance.orange.sn/questions/2764642-souci-reception-sms-orange-faire"
Fixe Orange : Quels sont les tarifs équipements/accessoires ?,"Ci-après les frais de quelques équipements/accessoires liés à votre abonnement Fixe de Orange TARIFS EQUIPEMENTS PRODUIT PRIX Télécommande 7 500F Carte Viaccess 8 500F Décodeur TVO 160 000F Filtre RJ11 4 900F Box Bi 35 000F Modem Domino 20 000F Pour toute demande d’assistance complémentaire, vous pouvez contacter le service client par Mail: serviceclient@orange-sonatel.com, sur Messenger , Whatsapp au 00221771370101 ou sur le chat Orange et Moi Pour plus d'information, cliquez sur ces liens: https://assistance.orange.sn/questions/2764641-fixe-orange-tarifs-equipements-accessoires"
Formulaire de Cession Orange : Comment le télécharger ?,"Vous êtes titulaire d'un abonnement mobile, internet ou fixe que vous souhaitez transmettre à une personne de votre entourage. Ci-après le formulaire de cession de ligne à remplir et signer par les deux parties. La cession se fait exclusivement en agence sur présentation du formulaire, les pièces d’identité des deux parties et la présence physique des deux personnes. Pour toute demande d’assistance complémentaire, vous pouvez contacter le service client par Mail: serviceclient@orange-sonatel.com, sur Messenger , Whatsapp au 00221771370101 ou sur le chat Orange et Moi Pour plus d'information, cliquez sur ces liens: https://assistance.orange.sn/questions/2764640-formulaire-cession-orange-telecharger pièces jointes: https://dimelo-answers-production.s3.eu-west-1.amazonaws.com/268/76cc0d97d41cc289/formulaire_de_cession_orange_original.pdf?41fef3c"
Formulaire de procuration Orange : Comment le télécharger ?,"La procuration permet à une tierce personne de gérer un contrat à la place du titulaire. Toute personne peut obtenir une procuration avec l'accord du titulaire. Ci-après le formulaire à remplir et à faire signer par titulaire de la ligne. Le mandataire peut se rendre en agence, muni du formulaire, des copies de sa pièce d’identité et de celle du titulaire du numéro pour gérer le contrat d’abonnement. La personne ayant obtenu la procuration peut gérer votre abonnement au niveau de nos agences ou du Service client. Pour toute demande d’assistance complémentaire, vous pouvez contacter le service client par Mail: serviceclient@orange-sonatel.com, sur Messenger , Whatsapp au 00221771370101 ou sur le chat Orange et Moi Procuration Orange.pdf Procuration Orang... 190 ko 13 octobre 2021 Traité Pour plus d'information, cliquez sur ces liens: https://assistance.orange.sn/questions/2764639-formulaire-procuration-orange-telecharger pièces jointes: https://dimelo-answers-production.s3.eu-west-1.amazonaws.com/268/2b52602787d9e04a/procuration_orange_original.pdf?41fef3c"
Qu’est-ce le Wifi Extender de orange ? Comment l’acheter ?,"Le Wifi Extender (Répéteur Wi-Fi) permet d'étendre la zone de couverture wifi de votre modem. Pour l’installer, il suffit de le branchant simplement sur une prise de courant et suivre le guide d’utilisation. Chaque membre de la famille peut ainsi facilement se connecter à internet où qu’il soit dans la maison. Il est disponible sur la boutique en ligne Orange: https://boutique.orange.sn/product/wifi-extender-%7Ctag=348 à 5000F Cliquer sur Guide D’installation accéder au guide d’installation. Plus d’informations sur https://www.orange.sn/internet-adsl-fibre/fibre-bi Pour toute demande d’assistance complémentaire, vous pouvez contacter le service client par Mail: serviceclient@orange-sonatel.com, sur Messenger , Whatsapp au 00221771370101 ou sur le chat Orange et Moi Pour plus d'information, cliquez sur ces liens: https://assistance.orange.sn/questions/2764638-wifi-extender-orange-acheter"
"Comment marche l’application Orange Radio, comment la télécharge ?","Orange Radio est une application qui offre à ses utilisateurs, un accès illimité et gratuit à des radios en ligne et des podcasts nationaux et dans le monde entier. L’application propose un catalogue de plus de 20000 radios et 5000 émissions en podcast, classés par continent, par pays et par genre : musique, économie, sport, actualité... Elle fonctionne en mode 3G/4G ou wifi d’Orange. Avec l’application Orange Radio : · Consultez le catalogue et découvrez des radios et podcasts du monde entier · Découvrez la sélection d'Orange pour votre pays · Choisissez votre radio en fonction de la musique qu'elle diffuse · Retrouvez vos titres préférés sur des services de musique à la demande · Visualisez vos radios, podcasts et titres favoris en un coup d'œil · Consultez les derniers tweets des radios · Continuez à profiter de vos podcasts en mode offline Téléchargement de l’application sur : Play-Store et Apple-Store Pour toute demande d’assistance complémentaire, vous pouvez contacter le service client par Mail: serviceclient@orange-sonatel.com, sur Messenger , Whatsapp au 00221771370101 ou sur le chat Orange et Moi Pour plus d'information, cliquez sur ces liens: https://assistance.orange.sn/questions/2764637-marche-application-orange-radio-telecharge"
Comment acheter un pass internet pour un modem Fly box de Orange?,"Comment acheter un pass internet pour un modem Fly box de Orange? Vous avez 4 options : · L’application Orange Money · L’application Orange et Moi · Le code USSD #144#42# · Le code USSD #1234#12# à partir de votre téléphone. Assurez-vous d‘avoir assez de crédit Pour toute demande d’assistance complémentaire, vous pouvez contacter le service client par Mail: serviceclient@orange-sonatel.com, sur Messenger , Whatsapp au 00221771370101 ou sur le chat Orange et Moi Pour plus d'information, cliquez sur ces liens: https://assistance.orange.sn/questions/2764636-acheter-pass-internet-modem-fly-box-orange"
Comment débloquer ou réinitialiser votre code de partage de crédit Orange?,"Pour débloquer ou réinitialiser votre code de partage de crédit, vous avez deux options : 1. Télécharger l’application Orange et Moi pour changer votre code 2. Composer le #116# option 2 et suivre les instructions. Le code par défaut est 0000. S’il ne fonctionne pas, contactez le service client en ligne ici http://bit.ly/2MZOgvF ou par mail: serviceclient@orange-sonatel.com en y joignant une copie de votre pièce d’identité en cours de validité et le numéro concerné. Le code sera réinitialisé dans les 24h (jours ouvrables) Pour toute demande d’assistance complémentaire, vous pouvez contacter le service client par Mail: serviceclient@orange-sonatel.com, sur Messenger , Whatsapp au 00221771370101 ou sur le chat Orange et Moi Pour plus d'information, cliquez sur ces liens: https://assistance.orange.sn/questions/2764635-debloquer-reinitialiser-code-partage-credit-orange"
Comment partager des idées et suggestion sur les offres Orange ?,"Chez Orange, nous croyons que l’échange avec vous nous permettent de nous améliorer pour mieux vous servir. Alors, Partagez vos idées, donnez-nous vos avis ! C’est pour cette raison que nous avons en place la plateforme idees.orange.sn, la plateforme d’expression des clients. Vous pouvez poster des idées, donnez votre avis ou rejoindre notre centre de test pour essayer en avant-première nos offres et services. N’attendez plus, inscrivez-vous et rejoignez la communauté de partage d’idées sur idees.orange.sn Pour toute demande d’assistance, vous pouvez contacter le service client par Mail: serviceclient@orange-sonatel.com, sur Messenger , Whatsapp au 00221771370101 ou sur le chat Orange et Moi Pour plus d'information, cliquez sur ces liens: https://assistance.orange.sn/questions/2764634-partager-idees-suggestion-offres-orange"
Avantages offerts à l’activation de la Sim Orange Khidma Touba,"Désormais à l’activation de votre puce Khidma Touba, vous recevez : Ø 1000F de bonus crédit est positionné dans le compteur bonus tous réseaux à l’activation de la Sim et valable 7 jours vers tous les réseaux en national Ø 1000 F offert le premier mois suivant l’activation valable 7 jours vers tous les réseaux en national Ø 1000 F offert le deuxième mois suivant l’activationvalable 7 jours vers tous les réseaux en national Ø Un pass 2Go d’internet valable 7 jours Un bonus est offert sur la 1ère recharge o Par Orange Money : · A partir de 1000F : 300% de bonus · De 500F et 999F : 250% de bonus o Par Seddo : · A partir de 1000F : 250% de bonus · De 500F et 999F : 200% de bonus Dans le cadre du Ganalé 4G, à l’achat de la nouvelle sim 4G, vous recevez · Un pass 1Go valable 7 jours utilisable sur la 4G est offert à l’activation · Un pass 500Mo valable 7 jours utilisable sur la 4G est offert le 1er mois suivant · Un pass 500Mo valable 7 jours utilisables sur la 4 G est offert le 2ème mois Pour plus d'information, cliquez sur ces liens: https://assistance.orange.sn/questions/2764633-avantages-offerts-activation-sim-orange-khidma-touba"
Quelles sont les pièces à fournir pour ouvrir une boutique ou un point de vente Orange ?,"Pour ouvrir une boutique ou point de vente Orange vous devrez fournir les pièces suivantes : · Ninea · Registre De Commerce · Certificat De Résidence · Photocopie CNI ou passeport (pour les étrangers) · Demande écrite. Rendez-vous à l’agence Sonatel / Orange la plus proche muni de votre dossier Pour toute demande d’assistance complémentaire, vous pouvez contacter le service client par Mail: serviceclient@orange-sonatel.com, sur Messenger , Whatsapp au 00221771370101 ou sur le chat Orange et Moi Pour plus d'information, cliquez sur ces liens: https://assistance.orange.sn/questions/2755042-pieces-fournir-ouvrir-boutique-point-vente-orange"
Fibre optique Orange : Comment contacter le service assistance technique ?,"Pour vos besoins d’assistance sur votre abonnement Fibre Optique Orange, vous pouvez contacter : Le service Client Digital : Facebook : facebook.com/orange.sn Twitter @SupportOrange Email : serviceclient@orange-sonatel.com Par Code USSD #1413# La Hotline 1. Le 800 810 820 2. Le 1413 Un assistant technique vous contactera dès réception de votre demande. Pour toute demande d’assistance complémentaire, vous pouvez contacter le service client par Mail: serviceclient@orange-sonatel.com, sur Messenger , Whatsapp au 00221771370101 ou sur le chat Orange et Moi Pour plus d'information, cliquez sur ces liens: https://assistance.orange.sn/questions/2755041-fibre-optique-orange-contacter-service-assistance-technique"
Numero commercial Orange: comment avoir un numéro facile retenir ?,"SIM GOLD à 10 000 frcs SIM PLATINE à 25 000 frcs Pour faire la différence, les sim gold ont un couple identique ou au moins les 4 derniers chiffres du numéro sont identiques (exemple : 78 290 0101/ 78 290 10 10 ou 78 299 00 00) Tandis que pour les sim Platinum les 3 couples de numéros sont identiques (exemple : 78 778 7878, 78 788 88 88). Pour vous abonner, présentez-vous en agence muni de votre carte nationale d'identité Sénégalaise, votre passeport ou d’une pièce d'identité CEDEAO en cours de validité. Si vous ne pouvez pas vous rendre en agence, vous pouvez mandater un tiers. Ce dernier pourra se présenter en agence muni d’une procuration légalisée, une copie légalisée de votre pièce d’identité et de la sienne Pour toute demande d’assistance complémentaire, vous pouvez contacter le service client par Mail: serviceclient@orange-sonatel.com, sur Messenger , Whatsapp au 00221771370101 ou sur le chat Orange et Moi Pour plus d'information, cliquez sur ces liens: https://assistance.orange.sn/questions/2755040-numero-commercial-orange-numero-facile-retenir"
Abonnement Fixe Orange : Comment activer les numéros favoris,"Si vous êtes titulaire d’une ligne fixe et souhaitez activer des numéros favoris, nous vous invitons à nous : · Contacter sur notre page Facebook ou sur Twitter ou par mail (servceclient@orange-sonatel.com). · Envoyer la copie de votre carte nationale d'identité si vous êtes de nationalité sénégalaise ou la copie de votre passeport. · Envoyer votre numéro fixe et les numéros favoris à activer Pour toute demande d’assistance complémentaire, vous pouvez contacter le service client par Mail: serviceclient@orange-sonatel.com, sur Messenger , Whatsapp au 00221771370101 ou sur le chat Orange et Moi Pour plus d'information, cliquez sur ces liens: https://assistance.orange.sn/questions/2755038-abonnement-fixe-orange-activer-numeros-favoris"
Le service Chat Message dans votre application Orange et Moi,"Le service Chat Message disponible uniquement sur Android à partir de la version 4.4, permet d’échanger des messages texte, photos, vidéos, audios… lorsque vous avez un pass internet en cours de validité ou est connecté en Wi-Fi. Vous allez recevoir un message sur l’application Message vous incitant à télécharger l’application Orange et Moi. A la réception de ce message, le bot l’assistera dans les actes suivants : - Téléchargement - Inscription - Récupération du mot de passe - Les avantages de l’application Pour toute demande d’assistance complémentaire, vous pouvez contacter le service client par Mail: serviceclient@orange-sonatel.com, sur Messenger http://bit.ly/2MZOgvF, Whatsapp 771370101. Pour plus d'information, cliquez sur ces liens: https://assistance.orange.sn/questions/2755030-service-chat-message-application-orange"
Quelques Astuces pour optimiser votre connexion Wifi,"1. Sécuriser son Wifi : · Changer le mot de passe par défaut du Wifi · Changer le nom par défaut · Faire du filtrage MAC (Il permet de contrôler l'accès au réseau d'équipements définis) 2. Bien positionner son modem Placer le modem en hauteur. Il est aussi recommandé d’éloigner le modem de tous les appareils électroniques et métalliques pour éviter de brouiller les ondes qu’il émet. 3. Ne pas surcharger la connexion Quand plusieurs appareils électroniques sont simultanément connectés sur le réseau, le débit ralentit naturellement. Pour éviter la surcharge de connexion, nous vous suggérons de déconnecter tous les appareils non utilisés. 4. Favoriser la connexion filaire : Brancher votre ordinateur sur le câble (RJ45) vous permet d’obtenir une vitesse de connexion supérieure au mode sans fil. ""C'est le mode de raccordement le plus fiable et le plus efficace pour avoir un débit maximal sans wifi"" Pour toute demande d’assistance complémentaire, vous pouvez contacter le service client par Mail: serviceclient@orange-sonatel.com, sur Messenger , Whatsapp au 00221771370101 ou sur le chat Orange et Moi Pour plus d'information, cliquez sur ces liens: https://assistance.orange.sn/questions/2751007-astuces-optimiser-connexion-wifi"
Comment migrer de Keurgui 2 vers Keurgui Intense 8 mégas ou KeurGui Max 15 mégas,"Vous possédez une offre Keurgui2 Mégas + Téléphone à 12 900 F / Mois et souhaitez accéder à Keurgui Intense 8 Mégas Max, TVO, Téléphone à 19 900 F / Mois ou à KeurGui Max 15 Mégas MaxTVO, Téléphone, 29 900 F. Ci-dessous la marche à suivre : Par mail : Envoyer un mail à macommande@orange-sonatel.com en précisant votre numéro de téléphone mobile, le numéro de la ligne Fixe, votre offre actuelle, l’offre vers laquelle vous souhaitez migrer. Rattacher une copie recto-verso de votre pièce d’identité en cours de validité et la demande de migration. L’équipe commerciale vous contactera. Plus d’informations sur https://www.orange.sn/internet-adsl-fibre/new-fibre Pour toute demande d’assistance complémentaire, vous pouvez contacter le service client par Mail: serviceclient@orange-sonatel.com, sur Messenger , Whatsapp au 00221771370101 ou sur le chat Orange et Moi Pour plus d'information, cliquez sur ces liens: https://assistance.orange.sn/questions/2751006-migrer-keurgui-2-keurgui-intense-8-megas-keurgui-max-15-megas"
Comment marche le service Seddo Pass Internet ?,"Le service Seddo Pass Internet, vous permet de partager votre pass avec vos proches. Il suffit de : · Taper le #1234# et appuyer sur la touche « Appel » · Sélectionner l’option 2 « Utiliser mes services Internet » · Sélectionner l’option 2 « Seddo Pass internet » · Suivre les instructions pour partager votre connexion. NB : à chaque transfert vous serez débité de 20Frs sur votre crédit global Pour toute demande d’assistance complémentaire, vous pouvez contacter le service client par Mail: serviceclient@orange-sonatel.com, sur Messenger , Whatsapp au 00221771370101 ou sur le chat Orange et Moi Pour plus d'information, cliquez sur ces liens: https://assistance.orange.sn/questions/2751005-marche-service-seddo-pass-internet"
